순번,회사명,공장대표주소,업종명,생산품,전화번호,팩스번호
2579,성신시스템,"경상남도 창원시 성산구 완암로 50, 테크동 4층 420호 (성산동, SK테크노파크)",배전반 및 전기 자동제어반 제조업,자동화 전기제어 및 소프트웨어,,055-253-2922
2580,성신전자,경상남도 창원시 의창구 죽전로74번길 33 (팔용동),기타 전기 변환장치 제조업 외 15 종,전원장치,055-255-8027,055-255-8021
2581,성실공업,"경상남도 창원시 마산합포구 진북면 진북산업로 629, (대티리 279)",표면 가공 목재 및 특정 목적용 제재목 제조업 외 2 종,선박모형,055-252-8331,055-252-8332
2582,성실기계(주),경상남도 창원시 마산회원구 내서읍 함마대로 2502-189 (성실기계),육상 금속 골조 구조재 제조업 외 2 종,엔진부품 발전설비부품,055-584-6431,055-583-6431
2583,성실기계공업사,"경상남도 창원시 성산구 월림로39번길 2-18 (신촌동, 성실기계)",금속 주조 및 기타 야금용 기계 제조업,주조설비및부품제작,055-286-0258,055-286-0259
2584,성실정밀,경상남도 창원시 의창구 죽전로 31 (팔용동),절삭가공 및 유사처리업,"베어링MCT가공, 반도체 검사장비 부품",,055-299-1944
2585,성심수출포장,경상남도 창원시 의창구 대산면 진남로76번길 18 ((주)섬영하이테크),목재 깔판류 및 기타 적재판 제조업,포장용 목재 깔판 및 적재판,055-292-5867,
2586,성심테크,"경상남도 창원시 성산구 공단로 220 (웅남동, (주)은성)",주형 및 금형 제조업,"금형부분품 펀치,다이",,055-266-0336
2587,성영,경상남도 창원시 진해구 웅천서로41번길 93 (제덕동),공기 조화장치 제조업,"난방기기, 전기히터",055-543-0066,055-552-1807
2588,성요정밀,"경상남도 창원시 성산구 성주로81번길 23 (남산동, 지성정밀)",절삭가공 및 유사처리업,금형부품가공(다이캐스팅),070-8878-2771,055-274-2771
2589,성우공업사,"경상남도 창원시 마산회원구 봉암공단6길 41 (봉암동, 성우공업사)",전투용 차량 제조업,유압실린더,055-296-4124,055-296-4124
2590,성우미크론(주),경상남도 창원시 성산구 남면로 125 (대원동),발광 다이오드 제조업 외 1 종,리드프레임,055-273-8835,055-273-8448
2591,성우세미텍(주),"경상남도 창원시 성산구 창원대로1144번길 55 (성주동, 성우테크론(주))",그 외 기타 전자부품 제조업 외 1 종,반도체리드프레임,055-279-8426,055-289-0015
2592,성우에스에프에이,경상남도 창원시 마산회원구 봉암공단1길 23 (봉암동),배전반 및 전기 자동제어반 제조업,"판넬, 산업기계 및 환경설비 제작",055-263-3443,055-292-3459
2593,성우전기,"경상남도 창원시 의창구 차룡로48번길 44, 1동 15층 1512호(팔용동) 1동 15층 1512호",배전반 및 전기 자동제어반 제조업 외 1 종,"제어함, 전기판넬 제작 및 설치",055-265-3433,055-237-3433
2594,성우정밀,경상남도 창원시 마산회원구 봉암공단1길 87 (봉암동),절삭가공 및 유사처리업,전장박스,055-267-0452,055-267-0457
2595,성우정밀(주),"경상남도 창원시 성산구 연덕로15번길 42 (웅남동, 성우정밀)",주형 및 금형 제조업,사출금형,055-286-8077,055-286-8079
2596,성우테크론(주),"경상남도 창원시 성산구 창원대로1144번길 55 (성주동, 성우테크론(주))",그 외 기타 전자부품 제조업 외 1 종,"리드프레임, 반도체검사장비",055-297-6511,055-297-6510
2597,성우하이텍,경상남도 창원시 의창구 대산면 봉강가술로537번길 16 (성우하이텍공장),금속 절삭기계 제조업,"공작기계부품, 선반베드",055-255-0795,
2598,성우하이텍,경상남도 창원시 의창구 사화로 222-4 (팔용동),자동차 엔진용 신품 부품 제조업 외 1 종,자동차엔진용부품,,055-296-1106
2599,성운테크,경상남도 창원시 성산구 정동로62번길 44 (성주동),그 외 자동차용 신품 부품 제조업,자동차부품(베어링),070-7787-3283,
2600,성원F.A,"경상남도 창원시 성산구 완암로 50, 메카동 4층 407호 (성산동, SK테크노파크)",기타 가공 공작기계 제조업,"전용기 및 자동화설비, 지그 등",055-600-6897,055-600-6896
2601,성원식품,경상남도 창원시 진해구 남영로473번길 21 (남양동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"순대, 돼지부산물",055-545-0977,055-545-0976
2602,성원이엔씨,"경상남도 창원시 의창구 차룡로48번길 44, 1동 13층 1305호(팔용동) 1동 13층 1305호 외 1필지",배전반 및 전기 자동제어반 제조업,배전반,054-782-7441,070-4369-7966
2603,성원코리아(주),경상남도 창원시 의창구 평산로8번길 37-39 (팔용동),절삭가공 및 유사처리업,공작기계 및 방산부품,055-294-2159,055-252-4074
2604,성인전기,경상남도 창원시 마산회원구 내서읍 수곡로 50-9 (성인전기),배전반 및 전기 자동제어반 제조업 외 4 종,전기배전반,055-232-8164,055-232-8165
2605,성일산업(주),경상남도 창원시 의창구 대산면 진남로76번길 18 (주)오영플라스틱,"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종","차선분리대, 조형물, 금속구조물, 간판",055-261-3731,055-261-0480
2606,성일엔지니어링,"경상남도 창원시 성산구 남면로 219, 1동 1층 10 (대원동) 외 2필지",절삭가공 및 유사처리업,발전설비 부품 및 공작기계 부품 가공,055-262-1646,055-262-1647
2607,성일전자,경상남도 창원시 의창구 죽전로68번길 43 (팔용동),발광 다이오드 제조업 외 1 종,전자부품,055-252-2403,055-252-4383
2608,성일테크,경상남도 창원시 마산합포구 진북면 정현공단길 109,"용기 세척, 포장 및 충전기 제조업","용기세척, 포장 및 충전기 제작",055-271-3107,055-271-3108
2609,성지(SJ)엔지니어링,"경상남도 창원시 성산구 완암로 50, 메카동 10층 1002호 (성산동, SK테크노파크)","물질 검사, 측정 및 분석기구 제조업 외 1 종","비파괴검사기(과학기자재 포함),전기제어장치 등",,
2610,성지EMB,경상남도 창원시 진해구 백구로 93 (수송동) 천일라사,남자용 겉옷 제조업 외 5 종,"군복,  근무복, 양복",032-552-4211,032-552-4212
2611,성지EMB,경상남도 창원시 진해구 충장로 185 (여좌동) 2층,남자용 겉옷 제조업 외 6 종,"근무복, 정복, 조끼",055-543-6116,055-543-2239
2612,성지공업사,"경상남도 창원시 마산회원구 무역로 153 (봉암동, 성지공업사)",도금업 외 1 종,"금속도금품, 금속도장, 피막처리품",055-256-4017,055-256-4017
2613,성지산업,"경상남도 창원시 진해구 남영로564번길 13 (남양동, 성지산업)",정형 내화 요업제품 제조업 외 1 종,"도형제,중자본드",055-552-9966,055-552-9968
2614,성지엠씨,경상남도 창원시 진해구 남영로527번길 11-6 (남양동),금속 절삭기계 제조업,"펌프,터빈",055-552-9966,055-552-9968
2615,성지정밀,"경상남도 창원시 성산구 완암로 50, 테크동 1층 105호 (성산동, SK테크노파크)",절삭가공 및 유사처리업,"공작기계부품, 엔진기어부품",055-286-3368,055-286-3358
2616,성지테크,"경상남도 창원시 마산회원구 내서읍 중리공단로 65, 벤처동 503호",자동차용 신품 전기장치 제조업 외 1 종,자동차 점화장치,055-231-5002,
2617,성진 ENTECH,경상남도 창원시 의창구 차룡단지로 67 (팔용동),그 외 기타 금속가공업,"초정밀 금형부품, 치공구",055-252-9059,055-252-9058
2618,성진T.S,경상남도 창원시 마산회원구 봉암공단1길 31-1 (봉암동),기타 절연선 및 케이블 제조업,에어컨 용 전선가공 및 조립,055-265-5167,055-265-5174
2619,성진TECH,경상남도 창원시 성산구 공단로21번길 48 (신촌동) 유한정밀 內,절삭가공 및 유사처리업 외 1 종,기계부품,055-282-8336,055-283-8330
2620,성진광고사,"경상남도 창원시 마산회원구 구암서2길 71 (구암동, 공장)",간판 및 광고물 제조업 외 1 종,"현수막, 조명광판 외",055-293-6478,055-251-5382
2621,성진메카텍,경상남도 창원시 성산구 공단로166번길 27-39 (신촌동),절삭가공 및 유사처리업,유압실린더 관련부품,055-286-7727,055-286-7729
2622,성진산업,경상남도 창원시 성산구 연덕로15번길 22 (웅남동),기어 및 동력전달장치 제조업,감속기 부품 조립,055-286-7728,055-286-7729
2623,성진산업사,"경상남도 창원시 의창구 평산로78번길 20 (팔용동, 영진정밀)",주형 및 금형 제조업,금형부품,055-297-5541,055-255-7487
2624,성진산전(주),"경상남도 창원시 의창구 사화로 210, 1동 3층 331 (팔용동)",배전반 및 전기 자동제어반 제조업,배전반 및 분전반,055-253-0905,055-253-0906
2625,성진엔테크(주),"경상남도 창원시 성산구 웅남로795번길 19 (남산동, 성진엔테크)",톱 및 호환성 공구 제조업,특수엔드밀공구,055-267-4885,055-267-4839
2626,성진열처리,경상남도 창원시 마산회원구 내서읍 광려천남로 203-17 (성진열처리),금속 열처리업,열처리,055-231-7722,055-232-7732
2627,성진전기(주),경상남도 창원시 의창구 차룡단지로 177 (팔용동),그 외 자동차용 신품 부품 제조업 외 3 종,세탁기-전원 스위치 자동차부품,055-299-8260,055-299-8268
2628,성진정밀,"경상남도 창원시 성산구 월림로49번길 8-14 (신촌동, 성진정밀)",건설 및 채광용 기계장비 제조업,"공작기계부품, 중장비유압부품",055-286-0471,055-286-0472
2629,성진정밀,"경상남도 창원시 성산구 완암로 3, 7동 1층 6호 (웅남동, 한국산업단지공단 창원제4아파트형공장)",절삭가공 및 유사처리업,"변속기,엔진부품가공",055-289-9136,
2630,성진정밀,"경상남도 창원시 성산구 남면로 219, 2동 1층 15호 (대원동) 외 2필지",절삭가공 및 유사처리업,기계가공품,055-286-8842,055-286-8843
2631,성진정밀,경상남도 창원시 마산회원구 봉암공단11길 46 (봉암동),무기 및 총포탄 제조업 외 20 종,"포판, 자동차엔진 부품 외",055-251-8123,055-251-8557
2632,성진테크,"경상남도 창원시 성산구 반월로 61-27 (신촌동, 성진테크)",주형 및 금형 제조업,금형,055-267-1159,055-267-1170
2633,성진테크,경상남도 창원시 의창구 차룡단지로 75-13 (팔용동),절삭가공 및 유사처리업,금속가공,055-274-0963,055-274-0963
2634,성진하이테크 유한책임회사,경상남도 창원시 성산구 공단로 308-26 (웅남동),자동차 엔진용 신품 부품 제조업,자동차엔진부품,055-286-7730,055-286-7768
2635,성창산업,경상남도 창원시 성산구 연덕로15번길 66 (웅남동),선박 구성 부분품 제조업,선박엔진부품,055-286-1935,055-261-1933
2636,성태공업사,경상남도 창원시 진해구 남의로63번길 21 (남양동),절삭가공 및 유사처리업,주물제품 가공,055-547-0363,055-551-6486
2637,성풍솔레드(주),"경상남도 창원시 의창구 팔용로371번길 7 (팔용동) 201호,202호",벽 및 바닥 피복용 플라스틱제품 제조업 외 4 종,"LED제품(LED안전유도블록,LED랜턴), 기타조명기구,바닥형 보행신호등",055-299-3062,055-299-3061
2638,성풍정밀,"경상남도 창원시 성산구 연덕로27번길 38 (웅남동, 성풍정밀)",자동차용 신품 동력전달장치 제조업 외 1 종,"G-counter3,4,5단 SHABT-GEAR",055-294-8850,055-294-8350
2639,성현인쇄사,"경상남도 창원시 성산구 용지로123번길 5, 지하층 (중앙동)",기타 인쇄업 외 1 종,책자및전단,055-277-1304,055-277-2914
2640,성현정공,경상남도 창원시 마산회원구 봉암공단11길 80 (봉암동),기타 물품 취급장비 제조업 외 2 종,권양기 부품 외,055-255-2311,055-255-2312
2641,성현테크,"경상남도 창원시 성산구 남면로 219, 1동 1층 3호 (대원동)",주형 및 금형 제조업,플라스틱 사출 금형,055-295-3860,055-295-3861
2642,성협나노텍,경상남도 창원시 의창구 팔용동 36번지 제3아파트형공장 3동 1층 7호,주형 및 금형 제조업 외 1 종,금형,055-293-8023,055-293-8048
2643,성호 E.D.M,"경상남도 창원시 성산구 남면로 219, 1동 1층 1 (대원동)",주형 및 금형 제조업,제조금형,055-263-9321,055-286-5719
2644,성호철강,"경상남도 창원시 성산구 반월로 32 (양곡동, (주)성호특수강)",절삭가공 및 유사처리업,철강재,055-264-0834,055-264-0825
2645,성화기업,"경상남도 창원시 성산구 정동로62번길 60 (성주동, (주)동구기업)",절삭가공 및 유사처리업,금형부품가공,055-261-3845,055-261-1804
2646,성화기전,"경상남도 창원시 의창구 창원대로18번길 22 (팔용동, 경남테크노파크)",무기 및 총포탄 제조업 외 5 종,"전자제어케이블조립체,시험장비 등",055-232-5156,055-232-5311
2647,성화기전,경상남도 창원시 마산회원구 내서읍 중리공단로2길 14-1,무기 및 총포탄 제조업 외 6 종,방산용 전자 부품 및 제어장치 조립체,055-232-5156,055-232-5311
2648,성화테크,"경상남도 창원시 의창구 사화로 210, 1층 112-2호 (팔용동)",절삭가공 및 유사처리업,"반도체금형 부품, 치공구 등",055-273-3219,055-273-3220
2649,성화테크,"경상남도 창원시 성산구 완암로 50, 테크동 6층 618호 (성산동, SK테크노파크) 테크동 6층 618호",절삭가공 및 유사처리업,산업기계 및 공작기계 부품,,055-287-6047
2650,성훈철강,경상남도 창원시 마산합포구 진북면 부평리 136 번지,육상 금속 골조 구조재 제조업 외 1 종,철구조물,070-7797-6797,051-973-6799
2651,세강(주),"경상남도 창원시 마산회원구 봉암공단13길 23-23, 8동 6층 0 (봉암동)",고무패킹류 제조업 외 5 종,타이어 밀봉제,055-246-9845,055-246-9846
